hale;D'un nom de famille qui a été tiré d'un nom d'endroit(de place) signifiant "le recoin, la retraite" du Vieil anglais healh.;
arwen;;
hall;D'un nom de famille qui a été tiré du Vieil anglais heall "le manoir, le hall" en appartenant à l'origine à une personne qui a vécu ou a travaillé(marché) en un manoir.;
clinton;D'un nom de famille qui était à l'origine d'un Vieux nom d'endroit(de place) anglais signifiant "le règlement(l'implantation) sur la Rivière(le Fleuve) Glyme".;
kipling;;
saku;Diminutif de SAKARI.;
guiomar;;
morton;D'un nom de famille qui était à l'origine d'un nom d'endroit(de place) signifiant "la ville de lande" en Vieil anglais.;
ted;Don de Dieu (grec).;
tuor;signifie "vigueur de force" en Sindarin.;
kiran;;
mehalia;;
gweneth;;
antonia;Inestimable (latin). Fleur (grec).;
darina;;
omolara;signifie "un enfant sont familiaux" en Yoruba.;
saki;;
tel;Version courte de TERENCE ou Terry.;
diogenes;signifie "né de Zeus" de grec (Dios) signification "de Zeus" et (gènes) signifiant "né".;
zenia;Variante du XENIA.;
hala;auréole.;
alphonso;Variante du ALFONSO.;
caedmon;La signification d'inconnu, quoique le premier élément soit probablement connecté à Brythonic caed la signification "de la bataille".;
gonzalo;Loup (celte).;
antonio;Inestimable (latin). Fleur (grec).;
tex;D'un surnom qui a dénoté une personne qui est venue de l'état du Texas.;
antonie;;
pich;;
alphonse;Noble, vif (germanique).;
adriaan;Forme hollandaise d'ADRIAN.;
samnang;signifie "chanceux" en Khmer.;
kyllikki;;
willow;Du nom de l'arbre, qui est en fin de compte tiré du Vieil anglais welig.;
esdras;Forme grecque d'EZRA.;
herakleides;Tiré du nom du héros grec HERAKLES.;
aragorn;La signification d'inconnu, quoique le premier élément soit vraisemblablement Sindarin ara "noble, royal".;
delbert;Version courte de ADELBERT.;
tegwen;Tiré des éléments gallois teg "la foire" et Gwen "a béni".;
kirby;D'un nom de famille anglais qui était à l'origine d'un nom d'endroit(de place) signifiant "le règlement(l'implantation) d'église" en Vieux norrois.;
ferdinand;Courageux, aventurier (germanique).;
rolf;Loup renommé (germanique).;
ture;Variante du TORE.;
samu;Diminutif hongrois et finlandais de SAMUEL.;
hani;heureux.;
lonnie;Forme abrégée des noms Alonzo et d'autres contenant le même son.;
cliff;Falaise (anglais).;
hank;A l'origine une forme courte de Hankin qui était un diminutif médiéval de JOHN.;
elario;Variante du ILARIO.;
hodel;;
hans;Dieu fait grâce (hébreu).;
garey;Variante du GARY.;
nahum;Signifie "le consolateur" en l'Hébreu.;
corrine;Jeune fille (grec).;
hana;Grâce (hébreu). Réjouissances (arabe). Fleur (japonais).;
piet;;
flip;Diminutif de FILIPPUS.;
sami;noble.;
apollonia;;
marvyn;Variante du MARVIN.;
rowena;Signification d'incertain, probablement une forme Latinisée d'un nom Germanique tiré des éléments hrod "gloire" et "joie" wynn.;
garland;D'un nom de famille signifiant "le triangle atterrissent" du Vieil anglais gara et le terrain(la terre).;
hamo;Forme normande de HAIMO.;
arleen;;
conrad;Conseiller courageux (germanique).;
normina;Forme Élaborée de NORMA.;
thi;Signifie "la poésie" du Vietnamien sino.;
loviisa;;
adrian;Habitant d'Adria, en Italie (grec).;
lorita;;
thu;Signifie "l'automne" du Vietnamien sino.;
rong;Chine : Martial; lotus (beau et élégant).;
corie;Vient du grec "Korinna" Nom d'une poétesse grecque. Se fête le 18 mai.;
nickolas;Variante du NICHOLAS.;
rona;Variante de Rhona.;
dazhdbog;Peut-être signifie "le dieu de donner" en slave.;
regana;Élaboration de REGAN, sous l'influence de REGINA.;
corin;Forme française de QUIRINUS.;
roni;signifie "ma joie" ou "ma chanson" en Hébreu.;
