01_prenom;02_genre;03_langage;04_fréquence;05_signification
aaliyah;f;english (modern);0;
aapeli;m;finnish;0;Forme finlandaise d'ABEL.
aapo;m;finnish;0;Forme finlandaise d'ABRAHAM.
aaren;m,f;english;0;
aarne;m;finnish;0;Forme finlandaise d'ARNE.
aaron;m;english, biblical;1.37;Esprit (hébreu).
aatami;m;finnish;0;Forme finlandaise d'ADAM.
aatto;m;finnish;0;Forme finlandaise d'ADOLF.
aatu;m;finnish;0;Forme finlandaise d'ADOLF.
abaddon;m;biblical;0;"signifie ""ruine, destruction"" en Hébreu."
'abbas;m;arabic;0;"signifie ""ruine, destruction"" en Hébreu."
abbey;f;english;0.06;
abbie;f;english;0;
abby;f;english;0;Souffle, respiration (hébreu).
abd-al-aziz;m;arabic;0;
abd-allah;m;arabic;0;"Prénom d'origine coranique. Signifie: ""Le serviteur de Dieu"""
abd-al-malik;m;arabic;0;
abd-al-qadir;m;arabic;0;
abd-al-rahman;m;arabic;0;
abdul;m;arabic;0.29;
abdul-aziz;m;arabic;0;La transcription Variante Abd-al-Aziz.
abdullah;m;arabic;0.13;Serviteur de Dieu (arabe).
abdul-rahman;m;arabic;0;La transcription Variante du ABD-AL-RAHMAN.
abe;m;english, jewish;0.03;Forme abrégée d'Abraham.
abednego;m;biblical;0;"signifie ""serviteur de Nebo"" en Akkadian, Nebo étant Dieu babylonien de sagesse."
abegail;f;spanish;0;
abel;m;english, french, spanish, biblical;5.38;Souffle, respiration (hébreu).
abelone;f;danish;0;
abena;f;african;0;
abeni;f;african;0;
abhay;m;indian;0;intrépide, sans crainte.
abiah;m,f;biblical;0;
abidan;m;biblical;0;"signifie ""mon père sont le juge"" en l'Hébreu."
abidemi;m;african;0;
abiel;m;biblical;0;"signifie ""Dieu sont mon père"" en l'Hébreu."
abigail;f;english, german, biblical;0.06;Source de joie (hébreu).
abigayle;f;english (modern);0;
abihu;m;biblical;0;"signifie ""il est mon père"" en l'Hébreu."
abijah;m,f;biblical;0;
abilene;f;biblical;0;
abimael;m;biblical;0;"signifie ""mon père sont Dieu"" en l'Hébreu."
abiram;m;biblical;0;"signifie ""mon père sont exaltés"" en l'Hébreu."
abisai;m;biblical (variant);0;Forme latine biblique d'ABISHAI.
abishag;f;biblical;0.03;
abishai;m;biblical;0;"signifie ""mon père sont un cadeau"" en l'Hébreu."
abital;f;biblical;0;
'abla;f;arabic;0;
abner;m;english, biblical;0;"signifie ""mon père sont une lumière"" en l'Hébreu."
abraham;m;english, jewish, biblical;3.15;Père des nations (hébreu).
abram;m;biblical;0.03;"signifie ""haut père"" en Hébreu."
absalom;m;english, biblical;0.03;
absolon;m;french;0;Forme française d'ABSALOM.
acacia;f;english;2.07;
acacius;m;ancient greek (latinized);0;Forme Latinisée d'AKAKIOS.
acantha;f;greek mythology (latinized);0;
ace;m;english;0.03;"Du mot anglais signifiant ""se classent le plus haut""."
achaicus;m;biblical, ancient greek (latinized);0;La forme Latinisée du nom grec (Achaikos), qui a mentionné la région en Grèce appelée (Achaia), placé sur la côte du nord du Péloponnèse.
achan;m;biblical;0;
achieng;f;african;0;
achille;m;french, italian;8.63;Qui a de belles lèvres (grec).
achilles;m;greek mythology (latinized);0;"Du grec (Achilleus) qui a de signification inconnue, peut-être tirée de grec (achos) ""la douleur"" ou bien du nom de la Rivière(du Fleuve) Achelous."
achim;m;german;0.03;Forme courte allemande de JOACHIM.
acke;m;swedish;0;Suédoise forme courte de AXEL.
ada;f;english;0.13;Ornement (hébreu).
adah;f;biblical;0;
adair;m;;0.03;D'un nom de famille anglais qui a été tiré du nom donné EDGAR.
adalbert;m;ancient germanic, german;0.06;Noble, brillant (germanique).
adalberto;m;italian, spanish, portuguese;0;Variante du ALBERTO.
adalheid;f;german;0;
adalia;m;biblical;0;
adam;m;english, french, german, polish, russian, romanian, biblical;25.45;Fait de terre rouge (hébreu). Des origines babyloniennes ou phéniciennes pourraient également donner à Adam la signification suivante : homme, humanité.
adamina;f;english;0;
adamo;m;italian;0;Fait de terre rouge (hébreu). Voir Adam.
adara;f;;0;
addie;f;english;0;
addison;m,f;english;0.64;"Dérivé américain d'Adam, avec ""son "", ""fils d'Adam."" Vient de l'hébreu ""Adâm"" Signifie: ""Homme, Humanité"" Se fête le 24 décembre"
addy;f;english;0;
adel;m;arabic;0;Noble (germanique).
adela;f;english;0;Noble (germanique).
adelaide;f;english;0;De noble lignée (germanique).
adelheid;f;german, dutch;0;"Vient du germain ""Adal et Hild"" Signifie: ""noble et combat"" Se fête le 16 décembre. "
adelia;f;english;0;"Vient du germain ""Adal"" Signifie: ""noble"" Se fête le 24 décembre."
adelina;f;italian, portuguese, spanish;0.67;Noble (germanique).
adeline;f;french, english;1.27;Noble (germanique).
adelle;f;english;0;
adelmar;m;german;0;"Des éléments Germaniques adal ""noble"" et meri ""célèbre""."
adem;m;turkish;0;Forme turque de l'ADAM.
aden;m;;0.54;Variante du AIDAN.
adena;f;;0;
adhara;f;astronomy;0;
adhiambo;f;african;0;
adi;f;jewish;0;"Prénom d'origine arabe. Signifie: ""courageux, fonceur"""
adil;m;arabic;0;Juste (arabe).
adina;f,m;biblical;0;
adino;m;biblical;0;"Signifie ""l'ornement"" en l'Hébreu."
adisa;m;african;0;"signifie ""celui qui est clair"" en Yoruba."
aditya;m;indian;0;Fils de l'Infini.
adjoa;f;african;0;
adlai;m;biblical;0;Forme contractée d'ADALIA.
adolf;m;german;2.42;Noble, loup (germanique).
adolfo;m;italian, spanish;0;Noble, loup (germanique).
adolph;m;english;0.06;Noble, loup (germanique).
adolphe;m;french;1.72;Noble, loup (germanique).
adolphus;m;history;0;Forme Latinisée d'ADOLF.
adonai;m;theology;0;"signifie ""mon lord(seigneur)"" en Hébreu."
adonia;f;;0;
adonijah;m;biblical;0;"signifie ""mon lord(seigneur) sont YAHWEH"" en l'Hébreu."
adonis;m;greek mythology;0.67;Seigneur (hébreu).
adora;f;spanish;0.03;
adorinda;f;esperanto;0;
adrasteia;f;greek mythology;0;
adrastos;m;greek mythology;0;"signifie ""non incliné de partir en courant"" en grec."
adria;f;english;0;"Prénom d'origine arabe. Signifie: ""pureté et amour"""
adriaan;m;dutch;0;Forme hollandaise d'ADRIAN.
adrian;m;english, romanian, russian;0.45;Habitant d'Adria, en Italie (grec).
adriana;f;italian, spanish, portuguese, romanian, english;0.06;Habitant d'Adria, Italie (grec).
adrianna;f;english;0;
adrianne;f;english;0;"Variante féminine d'Adrien. Vient du latin ""Adria"" ville qui donna son nom à la mer Adriatique. Se fête le 8 septembre."
adriano;m;italian;0.03;Habitant d'Adria, en Italie (grec).
adrien;m;french;6.31;Habitant d'Adria, en Italie (grec).
adrienn;f;hungarian;0;
adrienne;f;french;2.01;Habitant d'Adria, Italie (grec).
adwoa;f;african;0;
aegle;f;greek mythology (latinized);0;
aella;f;greek mythology;0;
aemilia;f;ancient roman;0;
aeneas;m;roman mythology;0.13;"Forme latine du nom grec (Aineias), tiré de grec (Aine) signifiant ""éloge""."
aengus;m;irish;0;Variante du Aonghus.
aeolus;m;greek mythology (latinized);0;Forme Latinisée d'AIOLOS.
aeron;m,f;welsh;0;
aeronwen;f;welsh;0;
aeronwy;f;welsh;0;
aeschylus;m;ancient greek (latinized);0;"Du nom grec (Aischylos), tiré (d'aischos) ""honte""."
aeson;m;greek mythology (latinized);0;Du grec (Aison), qui a de signification inconnue.
aesop;m;ancient greek (anglicized);0;Du grec (Aisopos), qui a de signification inconnue.
afanasi;m;russian;0;
afanasy;m;russian;0;Variante du transcription AFANASIY.
afanen;f;welsh;0;
afia;f;african;0;sauvegarde divine.
afolabi;m;african;0;"signifie ""né en richesse(fortune)"" en Yoruba."
afon;f,m;welsh;0;
afonso;m;portuguese;0;Portugais et le galicien forme de ALFONSO.
afra;f;;0;Terre colorée (arabe).
africa;f;english;0.13;
afua;f;african;0;
agafya;f;russian;0;
agamemnon;m;greek mythology;0.86;"Peut-être ce qui signifie ""très ferme"" en grec."
agape;f;greek, ancient greek;0.06;
agapios;m;greek, ancient greek;0;Forme masculine de BOUCHE BÉE.
agata;f;italian, spanish, polish, czech, slovene, russian;0.03;Bonté, gentillesse (grec).
agatha;f;english;0.19;Bonté, gentillesse (grec).
agathangelos;f;ancient greek;0;"signifie ""porteur de bonnes nouvelles"", tiré de grec (agathos) ""bon"" et (angelos) ""messager, ange""."
agathe;f;french, german, greek, ancient greek;20.01;Bonté, gentillesse (grec).
agathon;m;ancient greek;0.06;Bonté, gentillesse (grec).
agaue;f;greek mythology;0;
aggie;f;english;0;
aghavni;f;armenian;0;
aglaia;f;greek mythology, greek;0;
aglaya;f;russian;0;
aglea;f;;0;
agnes;f;english, german, dutch, scandinavian;0.03;Chaste, pure (grec).
agnese;f;italian, latvian;0.32;"Forme italienne d'Agnès. Vient du grec ""Agné"" Signifie : ""pur"" Se fête le 21 janvier."
agnessa;f;russian;0;
agneta;f;swedish;0;
agnethe;f;german;0;
agnieszka;f;polish;0;
agostina;f;italian;0;
agostinho;m;portuguese;0.16;Forme portugaise de Augustinus (voir Augustin).
agostino;m;italian;0.45;Consacré par les augures (latin) .
agrafena;f;russian;0;
agrippa;m;ancient roman, biblical;1.85;
agrippina;f;ancient roman;0;
agrona;f;celtic mythology;0;
ah;m,f;chinese;180.28;Chine : Provient d'un caractère chinois sans signification distincte.
ahab;m;biblical;0;
aharon;m;jewish;0;Forme hébraïque d'AARON.
ahmad;m;arabic;0.03;"signifie ""plus louable"" en arabe."
ahmed;m;arabic;2.71;Digne d'éloges (arabe).
ahmet;m;turkish;0;Forme turque de AHMAD.
ahriman;m;near eastern mythology;0;Forme persane moderne d'ANGRA MAINYU.
ahtahkakoop;m;native american;0;"signifie ""l'étoile(la star) recouvrent"" en Cree."
ahura mazda;m;near eastern mythology;0;"signifie ""l'étoile(la star) recouvrent"" en Cree."
ahuva;f;jewish;0;
ai;f;chinese, japanese;0;Chine : Qui aime.
aias;m;greek mythology;0;Forme grecque d'AJAX.
aida;f;english;3.95;Récompense (arabe). Celle qui ornera (hébreu).
aidan;m,f;irish, scottish;0;Petit feu (celte).
aiden;m;;0;Variante du AIDAN.
aikaterine;f;greek;0;
ailbhe;m,f;irish;0;
aileas;f;scottish;0;
aileen;f;scottish, english;0;
ailill;m;irish, irish mythology;0;"Signifie ""l'elfe"" en Gaélique irlandais."
ailpein;m;scottish;0;Écossaise forme gaélique de ALPIN.
ailsa;f;scottish;0;
aimo;m;finnish;0;"signifie ""quantité(montant) généreuse"" en finlandais."
aina;f;spanish;0;"Prénom dérivé d'Agnès. Vient du latin ""agnus"" Signifie : ""agneau, pureté"" Se fête le 10 septembre."
aindrea;m;scottish;0;Forme écossaise de ANDREW.
aingeal;f;irish;0;
aino;f;finnish;0;
ainsley;m,f;english, scottish;0;
ainslie;m,f;english, scottish;0;
aintzane;f;basque;0;
aiolos;m;greek mythology;0;"signifie ""déplacement rapide, agile"" en grec."
'aisha;f;arabic;0;"signifie ""déplacement rapide, agile"" en grec."
aislin;f;irish, english;0;
aisling;f;irish;0;
aislinn;f;irish;0;"Prénom d'origine irlandaise. Signifie : ""vision, rêve"". Fête indéterminée. "
aithne;f;irish;0;
aitor;m;basque;0;"Signifie peut-être ""bons pères"" du Pays Basque aita «père» et le «bon»."
ajax;m;greek mythology (latinized);0.38;"Du nom grec (Aias), tirant peut-être ""de parent du défunt"" (aiastes) grec."
ajeet;m;indian;0;La transcription Variante du AJIT.
ajit;m;indian;0;Invincible.
ajith;m;indian;0;La transcription Variante du AJIT.
akakios;m;greek, ancient greek;0;"signifie ""innocent, pas mal"" de grec, un préfixe négatif, combiné avec ""mal"" (kake)."
akamu;m;hawaiian;0;Forme hawaïenne d'ADAM.
akanksha;f;indian;0;
akeem;m;arabic;0;Peut-être une variante de HAKIM.
akemi;f;japanese;0;joli crépuscule.
akhil;m;indian;0;"signifie ""le tout, complétez(achevez)"" en Sanscrit."
aki;m,f;japanese;0.10;automne.
akiko;f;japanese;0;
akilah;f;arabic;0;
akilina;f;russian;0;
akim;m;russian;0.06;Dieu a établi (hébreu).
akinyi;f;african;0;
akio;m;japanese;0;garçon brillant.
akira;m;japanese;0;intelligent.
akiva;m;jewish;0;La transcription Variante du AKIBA.
akoni;m;hawaiian;0;Version courte de ANAKONI.
akosua;f;african;0;
aksel;m;danish, norwegian;0;Variante du AXEL.
aksinya;f;russian;0;
aku;m;finnish;0;Version courte de Aukusti.
akua;f;african;0;
akulina;f;russian;0;
al;m;english;6.88;Forme abrégée d'Albert et d'autres noms commençant par Al.
alaba;f;african;0;
alain;m;french;20.36;Beau, calme (celte).
alaina;f;english;0;"Vient du latin ""Alanus"" Nom d'une peuplade près de la mer Noire. Se fête le 9 septembre."
alan;m;english, scottish;0.32;Beau, calme (celte).
alana;f;english;0;Belle, calme (celte).
alanis;f;english;0;Belle, calme (celte).
alanna;f;english;0;
alannah;f;english;0;
alannis;f;english;0;
alaois;m;irish;0;Forme irlandaise d'ALOYSIUS.
alaric;m;history;0.41;Roi de tous (germanique).
alasdair;m;scottish;0;Forme écossaise de ALEXANDER.
alastair;m;scottish;0;Forme Anglicisée d'ALASDAIR.
alastar;m;irish;0;Forme irlandaise d'ALEXANDER.
alayna;f;english;0;
alba;f;italian, spanish;0.25;Blanc (latin).
alban;m;english, german;0.70;Blanc (latin).
alberic;m;english;0;Noble, brillant (germanique).
albert;m;english, french;27.88;Noble, brillant (germanique).
alberta;f;english, italian;0.22;Noble, brillante (germanique).
albertina;f;italian, german, portuguese, english;0.06;Noble, brillante (germanique).
albertine;f;french;4.08;Noble, brillante (germanique).
alberto;m;italian, spanish, portuguese;1.34;Noble, brillant (germanique).
albina;f;italian;0;Blanc (latin).
albrecht;m;german;0.16;Allemand apparenté d'ALBERT.
alby;m;irish;14.97;Forme masculine Anglicisée d'AILBHE.
alcaeus;m;ancient greek (latinized);0;"Forme Latinisée du nom grec (Alkaios), tiré ""de force"" (alke)."
alcippe;f;greek mythology (latinized);0;
alcyone;f;greek mythology (latinized);0;
alden;m;english;0.03;D'un nom de famille qui a été tiré du Vieil anglais le nom donné EALDWINE.
aldo;m;italian;4.59;Noble (germanique).
aldous;m;english;0.22;"Peut-être une forme abrégée des noms commençant par l'élément germanique ald ""vieux"", ce qui en fait un mot apparenté d'ALDO."
aldrick;m;;0;
alea;f;english (modern);1.31;
alease;f;english;0;
alec;m;english;0.03;Défense de l'humanité (grec).
alechjo;m;esperanto;0;
aled;m;welsh;0;"Signifie ""le résultat""(""la progéniture"") en gallois."
aleesha;f;english (modern);0;
aleit;f;german;0;
alejandra;f;spanish;0;
alejandro;m;spanish;0;Défense de l'humanité (grec).
alejo;m;spanish;0;Forme espagnole de ALEXIS.
aleksandar;m;bulgarian, macedonian, croatian, serbian;0;Apparenté d'ALEXANDER.
